module,phase,name,code,sequence,workflow-file,command,required,agent,description,output-location,outputs
ima,1-setup,Start Session,ST,10,.ima/workflows/1-setup/start-session.md,ima-start-session,true,orchestrator,"Initialize session — load agency config, select client, confirm context",clients/[client-name]/,config loaded
ima,1-setup,Client Add,CA,20,.ima/workflows/1-setup/client-add.md,ima-client-add,true,orchestrator,"Create a new client workspace with config and output directories",clients/[client-name]/,config.yaml
ima,2-research,Brand Audit,BA,10,.ima/workflows/2-research/brand-audit.md,ima-brand-audit,false,brand,"Full brand analysis — identity, online presence, current influencer strategy",clients/[client-name]/research/,brand-brief*.md
ima,2-research,Brand Competitors,BC,20,.ima/workflows/2-research/competitive-analysis.md,ima-brand-competitors,false,brand,"Map competitive landscape and analyze competitor influencer strategies",clients/[client-name]/research/,competitive-analysis*.md
ima,2-research,Brand Audience Deep-dive,BD,30,.ima/workflows/2-research/brand-audience.md,,false,brand,"Deep-dive into the brand's target audience demographics and psychographics",clients/[client-name]/research/,audience-analysis*.md
ima,2-research,Brand Fit,BF,40,.ima/workflows/2-research/brand-fit.md,,false,brand,"Define the ideal influencer profile for the brand — content style, audience alignment, values",clients/[client-name]/research/,brand-fit*.md
ima,3-discovery,Scout Discover,SD,10,.ima/workflows/3-discovery/discover-influencers.md,ima-scout-discover,false,scout,"Run a full discovery pipeline — search, profile, score, and shortlist influencers",clients/[client-name]/discovery/,shortlist*.md
ima,3-discovery,Scout Profile,SP,20,.ima/workflows/3-discovery/scout-profile.md,,false,scout,"Create a detailed profile for a specific influencer with metrics and scoring",clients/[client-name]/discovery/,profile-*.md
ima,3-discovery,Scout Compare,SC,30,.ima/workflows/3-discovery/scout-compare.md,,false,scout,"Side-by-side comparison of multiple influencers across all dimensions",clients/[client-name]/discovery/,comparison*.md
ima,3-discovery,Scout Trending,SN,40,.ima/workflows/3-discovery/scout-trending.md,,false,scout,"Find rising and trending creators in a niche before they blow up",clients/[client-name]/discovery/,trending-*.md
ima,4-vetting,Audit Full,AF,10,.ima/workflows/4-vetting/vet-influencer.md,ima-audit-full,false,auditor,"Complete audit — content quality + authenticity + brand safety + performance patterns",clients/[client-name]/audits/,audit-*.md
ima,4-vetting,Audit Content,AC,20,.ima/workflows/4-vetting/audit-content.md,,false,auditor,"Content quality assessment only — visual quality, storytelling, consistency",clients/[client-name]/audits/,content-audit*.md
ima,4-vetting,Audit Authenticity,AA,30,.ima/workflows/4-vetting/audit-authenticity.md,,false,auditor,"Engagement authenticity and fraud check — detect bots, pods, fake engagement",clients/[client-name]/audits/,auth-audit*.md
ima,4-vetting,Audit Safety,AY,40,.ima/workflows/4-vetting/audit-safety.md,,false,auditor,"Brand safety risk assessment — controversial content, history review, audience review",clients/[client-name]/audits/,safety-audit*.md
ima,5-planning,Campaign Plan,CP,10,.ima/workflows/5-planning/campaign-planning.md,ima-campaign-plan,false,campaign,"Design a full campaign — objectives, influencer strategy, creative brief, budget, timeline",clients/[client-name]/campaigns/,campaign-proposal*.md
ima,5-planning,Campaign Brief,CB,20,.ima/workflows/5-planning/campaign-brief.md,,false,campaign,"Generate a creative brief for content creators with messaging, deliverables, and guidelines",clients/[client-name]/campaigns/,brief-*.md
ima,5-planning,Campaign Budget,CG,30,.ima/workflows/5-planning/campaign-budget.md,,false,campaign,"Create an optimized budget allocation plan with tier, platform, and contingency breakdown",clients/[client-name]/campaigns/,budget-*.md
ima,5-planning,Campaign Calendar,CK,40,.ima/workflows/5-planning/campaign-calendar.md,,false,campaign,"Build a content calendar and timeline with posting schedule and milestones",clients/[client-name]/campaigns/,calendar-*.md
ima,6-outreach,Outreach Sequence,OS,10,.ima/workflows/6-outreach/outreach-sequence.md,ima-outreach-sequence,false,outreach,"Generate a full outreach sequence for a list of influencers with personalized messages",clients/[client-name]/outreach/,outreach-*.md
ima,6-outreach,Outreach Draft,OD,20,.ima/workflows/6-outreach/outreach-draft.md,,false,outreach,"Draft a personalized outreach message for a specific influencer",clients/[client-name]/outreach/,draft-*.md
ima,6-outreach,Outreach Negotiate,ON,30,.ima/workflows/6-outreach/outreach-negotiate.md,,false,outreach,"Get negotiation advice — rate discussion, deal structuring, counter-offers",clients/[client-name]/outreach/,negotiation-*.md
ima,6-outreach,Outreach Follow-up,OF,40,.ima/workflows/6-outreach/outreach-followup.md,,false,outreach,"Draft a follow-up message with appropriate timing and tone based on cadence",clients/[client-name]/outreach/,followup-*.md
